"Model","Best epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"multi_task_b30_d5_lstm40","6","0.868262860523","0.869076791961","0.866217013358","0.860265830276","0.861121906983","0.856272322503"
"multi_task_b70_d5_lstm100","5","0.885073086104","0.885353668263","0.884560060655","0.880367746146","0.870600682299","0.872425436295"
"multi_task_b30_d2_lstm100","5","0.908110356861","0.908083593073","0.905849069611","0.86879374312","0.872749060759","0.866730877874"
"multi_task_b100_d2_lstm40","5","0.895515362139","0.894639104903","0.893323654072","0.877156940135","0.868625037786","0.868006803246"
"multi_task_b100_d2_lstm200","6","0.922128422688","0.920362774235","0.919844042117","0.885179315251","0.875005397936","0.87560991696"
"multi_task_b100_d5_lstm200","8","0.902946004368","0.902907312221","0.901663194101","0.886501310526","0.877931079155","0.877461651017"
"multi_task_b100_d7_lstm100","6","0.857570568369","0.856363437366","0.852466953765","0.866528090943","0.854536425271","0.852930370012"
"multi_task_b70_d2_lstm40","3","0.878570083758","0.879414063034","0.877472749788","0.872798654764","0.865882886384","0.865378810183"
"multi_task_b100_d5_lstm40","6","0.868547213484","0.868552484285","0.866879264198","0.876791250257","0.860765643218","0.863976458665"
"multi_task_b30_d7_lstm200","3","0.858161017714","0.858736301808","0.856795631798","0.873083832259","0.861823638641","0.862935149905"
"multi_task_b30_d2_lstm40","5","0.898893852127","0.898892716912","0.896278454073","0.86127535322","0.862946409293","0.858316833671"
"multi_task_b100_d7_lstm200","4","0.858991109729","0.858709342012","0.856238097124","0.872384956129","0.864824890962","0.864698453262"
"multi_task_b30_d7_lstm40","7","0.833122109723","0.835141249212","0.830565278418","0.841936648464","0.842196743965","0.836369943046"
"multi_task_b70_d5_lstm40","4","0.859691209757","0.85767762683","0.855365425976","0.868090149125","0.863788487282","0.861325967626"
"multi_task_b30_d7_lstm100","21","0.871905796944","0.872971878921","0.869696114068","0.863399692219","0.866498251069","0.860758561649"
"multi_task_b100_d2_lstm100","4","0.901588494986","0.900333255271","0.899863698991","0.886689209567","0.878891911733","0.879316349248"
"multi_task_b30_d5_lstm200","2","0.871003793835","0.869884781074","0.868929182629","0.876433111863","0.87100012955","0.869383668174"
"multi_task_b70_d2_lstm200","6","0.927422793393","0.926772365163","0.92615586632","0.886676513307","0.879820356696","0.880016959052"
"multi_task_b30_d5_lstm100","11","0.898747516326","0.898642835816","0.896411240396","0.871071719826","0.873904219027","0.868218707796"
"multi_task_b70_d7_lstm100","6","0.85427357039","0.856303481999","0.852666438239","0.855308420743","0.853500021592","0.849397776529"
"multi_task_b30_d2_lstm200","3","0.908425395408","0.90874109019","0.908010140831","0.887323127562","0.883264239755","0.882873715243"
"multi_task_b70_d5_lstm200","6","0.898767881748","0.898039660677","0.89706513711","0.885319441074","0.882206244332","0.879556997511"
"multi_task_b70_d7_lstm200","20","0.891276397829","0.892076717118","0.889607743448","0.877437807448","0.880640842942","0.874676250933"
"multi_task_b100_d7_lstm40","17","0.850607017271","0.85254480356","0.84784229681","0.849433115914","0.847875372458","0.842372179517"
"multi_task_b70_d2_lstm100","7","0.923893092206","0.92303340359","0.92246544021","0.882371692157","0.875858271797","0.875021278809"
"multi_task_b100_d5_lstm100","5","0.882816926868","0.883424232109","0.882014811161","0.882120541086","0.87672194153","0.876159492912"
"multi_task_b70_d7_lstm40","23","0.857399602794","0.8579335437","0.853410637137","0.84923675184","0.850185688993","0.843767973954"
