"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.844513052818","0.830120691362","0.822420229182","0.849890099932","0.807855076219","0.80889885987"
"1","0.870935024942","0.86207891414","0.859643622058","0.869771057401","0.846471909142","0.844663582692"
"2","0.889601234387","0.889386773283","0.888257546038","0.881739629445","0.8585632854","0.865201960586"
"3","0.895721121745","0.889144537503","0.886707476542","0.879597338184","0.871572310748","0.866419980152"
"4","0.908373220082","0.903414317342","0.901183074476","0.875150067651","0.857170617956","0.85668947811"
"5","0.922128422688","0.920362774235","0.919844042117","0.885179315251","0.875005397936","0.87560991696"
"6","0.924712747823","0.923319499336","0.922366129122","0.875349868288","0.859448546876","0.861237108232"
"7","0.937571092641","0.936869412381","0.936082912291","0.880861646414","0.876408861251","0.874309381154"
"8","0.942145301734","0.941745916396","0.94023902171","0.873001811964","0.858066675303","0.859328081925"
"9","0.9471878693","0.946422032672","0.944798364065","0.871437304576","0.864209526277","0.86167532021"
"10","0.952452620699","0.952000296155","0.95066935198","0.877265116943","0.869391544673","0.866948795352"
