"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.755234550874","0.763731992265","0.743720855262","0.757582788741","0.773049185991","0.752773508362"
"1","0.797638882672","0.791997930131","0.777814494207","0.798848796528","0.797922874293","0.776837096103"
"2","0.807505854441","0.813003635146","0.804825063422","0.817996553663","0.820669775878","0.812940830167"
"3","0.817726452839","0.816060956501","0.807026860454","0.821187160691","0.810446085417","0.799636022285"
"4","0.822753787116","0.823002098035","0.814494879847","0.822959704732","0.822397115343","0.811031632806"
"5","0.826087374845","0.826842460633","0.822096331437","0.829526402564","0.826164874552","0.820312864889"
"6","0.832097260553","0.825589433691","0.816691855953","0.827476333699","0.815941184091","0.80548522016"
"7","0.83349316208","0.834367462826","0.829212514735","0.829855819639","0.838245454938","0.829140152521"
"8","0.837225508863","0.838277840416","0.831757269611","0.826996649077","0.830504814959","0.821733422106"
"9","0.839654065984","0.838729718789","0.832278192677","0.83433529785","0.826143282809","0.820682936629"
"10","0.840260376546","0.842816341016","0.837998055971","0.835491341312","0.8418404802","0.834196699937"
"11","0.843835642573","0.845344526075","0.841330338946","0.837934483319","0.839454592564","0.834012182034"
"12","0.84390498326","0.845917119953","0.841307846909","0.834739334248","0.828896230082","0.826294978177"
"13","0.845936741951","0.846702173121","0.84299138582","0.841450273133","0.841333074232","0.836018678187"
"14","0.849185824956","0.847423649455","0.841382670724","0.840159050658","0.839864835687","0.830589227877"
"15","0.847950338818","0.849971551379","0.846017814757","0.841483932799","0.837705661355","0.83426829793"
"16","0.85047917404","0.852416845124","0.84826260775","0.844982788235","0.844431489398","0.839358903406"
"17","0.852645688382","0.854653301046","0.850053862669","0.844399620765","0.848685062832","0.841576995771"
"18","0.852511194787","0.85403121381","0.849207077445","0.842889151935","0.849235652287","0.840865951404"
"19","0.853037092925","0.854536609391","0.850559517946","0.842291855785","0.845921319687","0.839311084973"
"20","0.85449594597","0.854954285038","0.850293088503","0.847078569066","0.848361186682","0.841094706504"
"21","0.855925172154","0.857661531429","0.853902835957","0.845507069723","0.846806581163","0.841695046144"
"22","0.857399602794","0.8579335437","0.853410637137","0.84923675184","0.850185688993","0.843767973954"
"23","0.856588636754","0.858419222415","0.853734581472","0.845193493741","0.847929351816","0.840975716671"
"24","0.8562810369","0.857723901107","0.854193206511","0.846852787546","0.841354665976","0.838963537592"
